villaName,stars,roomType,photoLink,seasons,extrabed,honeymoonPackage,contractUntil
The Sakaye ,5.0,One Bedroom Villa with Private Pool Villa,https://bit.ly/sakyephotos,"{'normal': 1400000, 'high': 1900000, 'peak': 1900000}",,,2025-10-31 00:00:00
The Sakaye ,5.0,Two Bedroom Villa with Private Pool Villa,,"{'normal': 2400000, 'high': 3150000, 'peak': 3150000}",,,
The Sakaye ,5.0,Three  Bedroom Villa with Private Pool Villa,,"{'normal': 3300000, 'high': 4300000, 'peak': 4300000}",,,
Pramana Zahill Kintamani,5.0,1 Bedroom Private Pool Villa (3 Unit),2100000,"{'normal': 2400000, 'high': 2400000, 'peak': None}",2026-03-31 00:00:00,,
Pramana Zahill Kintamani,5.0,3 Bedroom Private Pool Villa ( 1 Unit),3200000,"{'normal': 3500000, 'high': 3500000, 'peak': None}",,,
Pramana Natura Nusa Penida,,Suite Ocean View (27 Unit),2300000,"{'normal': 2850000, 'high': 2850000, 'peak': 6650000}",4750000,2026-03-31 00:00:00,700000
Pramana Natura Nusa Penida,,One Bedroom Villa Ocean View ( 3 Unit),4500000,"{'normal': 5050000, 'high': 5050000, 'peak': 8850000}",6950000,,
Pramana Natura Nusa Penida,,One Bedroom Royal Pool Villa Ocean View (2 Unit),7500000,"{'normal': 8050000, 'high': 8050000, 'peak': 11850000}",9950000,,
Pramana Giri Kusuma Ubud,,One Bedroom Jungle Villa (4 Unit),2800000,"{'normal': 3250000, 'high': 3250000, 'peak': 4550000}",4950000,2026-03-31 00:00:00,550000
Pramana Giri Kusuma Ubud,,Two Bedroom Jungle Pool (1 Unit),5500000,"{'normal': 5950000, 'high': 5950000, 'peak': 7250000}",7650000,,
Beehouse Dijiwa Ubud,,One Bedroom Villa ,https://drive.google.com/drive/folders/17JIeBk1AzjtK05JF8Iss23_zmz7nyBMc,"{'normal': 3750000, 'high': 4250000, 'peak': 4250000}",600000,,1 Apr 2025 â€“ 31 Oct 2025 
Beehouse Dijiwa Ubud,,Villa with Private Pool ,,"{'normal': 4100000, 'high': 4600000, 'peak': 4600000}",,,
Beehouse Dijiwa Ubud,,Duplex Private Pool Villa ,,"{'normal': 4400000, 'high': 4900000, 'peak': 4900000}",,,
Beehouse Dijiwa Ubud,,One Bedroom Villa ,,"{'normal': 3750000, 'high': 4250000, 'peak': 4250000}",600000,,1 Nov 2025 â€“ 31 Mar 2026
Beehouse Dijiwa Ubud,,Villa with Private Pool ,,"{'normal': 4100000, 'high': 4600000, 'peak': 4600000}",,,
Beehouse Dijiwa Ubud,,Duplex Private Pool Villa ,,"{'normal': 4400000, 'high': 4900000, 'peak': 4900000}",,,
Mathis Retreat Ubud,,Deluxe,https://drive.google.com/drive/folders/1_peT2D882M5ERFStp_2vsjAZOj4IDoxo,"{'normal': 1200000, 'high': 1800000, 'peak': 2400000}",650000,,2026-03-01 00:00:00
Mathis Retreat Ubud,,Bungalow,,"{'normal': 1400000, 'high': 2000000, 'peak': 2700000}",,,
Mathis Retreat Ubud,,Grand Deluxe Rice Field,,"{'normal': 1500000, 'high': 2100000, 'peak': 2900000}",,,
Mathis Retreat Ubud,,Grand Deluxe Connecting,,"{'normal': 3150000, 'high': 4300000, 'peak': 6000000}",,,
Mathis Retreat Amed,,Deluxe Lodge ,https://drive.google.com/drive/folders/1YIJoY83XgYVGlvUpBRCLtps6-l2gcMJD,"{'normal': 1700000, 'high': 2100000, 'peak': 2900000}",650000,,2026-03-01 00:00:00
Mathis Retreat Amed,,Jacuzzi Lodge ,,"{'normal': 2100000, 'high': 2500000, 'peak': 3400000}",,,
Mathis Retreat Amed,,Pool Lodge ,,"{'normal': 3500000, 'high': 4200000, 'peak': 5200000}",,,
Mathis Retreat Amed,,Family Lodge ,,"{'normal': 2200000, 'high': 2600000, 'peak': 3400000}",,,
Mathis Retreat Amed,,Family Pool Lodge ,,"{'normal': 4000000, 'high': 4700000, 'peak': 5700000}",,,
Blue Karma Dijiwa Ubud,,One Bedroom Suite,https://drive.google.com/drive/folders/1HVQqhdEaSBD8bjU_oUl9jiblUQY9VEp2,"{'normal': 2150000, 'high': 2650000, 'peak': 2650000}",650000,,1 Apr 2025 â€“ 31 Oct 2025 
Blue Karma Dijiwa Ubud,,One Bedroom Villa Garden View,,"{'normal': 2550000, 'high': 3050000, 'peak': 3050000}",,,
